question_id,answer,template,help_text
24,Cost method,"Investment in Associates
 An associate is an entity, including an unincorporated entity such as a partnership, over which the Company has significant influence and that is neither a subsidiary nor interest in a joint venture. The investment is accounted using the cost model other than those for which there is published price quotation which is measured using the fair value model or equity method.
 
 Under this method, investment in associate is measured at cost less any accumulated impairment losses recognized in profit or loss. The company shall recognize dividends and other distributions as income without regard to whether the distributions are from accumulated profits of the associate arising before or after date of acquisition.
 
 When an investment in an associate is recognized initially, the company shall measure it at the transaction price which do not include transaction cost.",
24,Equity method,"Investment in Associates
 An associate is an entity, including an unincorporated entity such as a partnership, over which the Company has significant influence and that is neither a subsidiary nor interest in a joint venture. The investment is accounted using the equity method other than those for which there is published price quotation which is measured using the fair value model.
 
 Under this method, an equity instruments is initially recognized at the transaction price (including transaction costs) and is subsequently adjusted to reflect the company’s share of the profit or loss and other comprehensive income of the associate. 
 When an investment in an associate is recognized initially, the company shall measure it at the transaction price which do not include transaction cost.",
24,Fair value model,"Investment in Associates
 An associate is an entity, including an unincorporated entity such as a partnership, over which the Company has significant influence and that is neither a subsidiary nor interest in a joint venture. The investment is accounted using the fair value model other than those for which there is published price quotation which is measured using the equity method
 
 When an investment in an associate is recognized initially, the company shall measure it at the transaction price which do not include transaction cost. 
 At each reporting date, an investor shall measure its investment in associate at fair value, with the changes in fair value recognized in profit or loss. The company shall use the cost model for any
 investment in an associate for which it is impracticable to measure fair value without undue cost or effort.",
25,Cost method,"Investment in joint venture
 The investment in joint venture is accounted by the company using the cost model other than those for which there is published price quotation which is measured using the fair value model or equity method.
 
 Using this method, investment in jointly controlled entities are measured at cost less accumulated impairment losses recognized in profit or loss. The company shall recognize distributions received from the investment as income without regard to whether the distributions are from accumulated profits of the jointly controlled entity arising before or after date of acquisition. 
 
 Investment in joint venture is derecognized by the Company upon its disposal or when the investment in joint venture is permanently withdrawn from use and no future economic benefits are expected from its disposal. Gains and losses on disposals are determined by comparing the proceeds with the carrying amount and are recognized in profit or loss.",
25,Equity method,"Investment in joint venture
 The investment in joint venture is accounted by the company using the equity method other than those for which there is published price quotation which is measured using the fair value model.
 
 The company shall measure its investment in a jointly controlled entity initially at transaction price (including transaction costs) and is subsequently adjusted to reflect the company’s share of the profit or loss and other comprehensive income of the venture. 
 
 Investment in joint venture is derecognized by the Company upon its disposal or when the investment in joint venture is permanently withdrawn from use and no future economic benefits are expected from its disposal. Gains and losses on disposals are determined by comparing the proceeds with the carrying amount and are recognized in profit or loss.",
25,Fair value model,"Investment in joint venture
 The investment in joint venture is accounted by the company using the (cost model)other than those for which there is published price quotation which is measured using the fair value model or equity method.
 When an investment in jointly controlled entity is recognized initially, the company shall measure it at the transaction price which does not include transaction cost.
 
 At each reporting date, the company shall measure its investment in jointly controlled entity at fair value, with the changes in fair value recognized in profit or loss. The company shall used the cost model for any investment in an associate for which it is impracticable to measure fair value without undue cost or effort. 
 
 Investment in joint venture is derecognized by the Company upon its disposal or when the investment in joint venture is permanently withdrawn from use and no future economic benefits are expected from its disposal. Gains and losses on disposals are determined by comparing the proceeds with the carrying amount and are recognized in profit or loss.",
36,Straight line depreciation,"Depreciation is charged so as to allocate the cost of assets less their residual values over
 their estimated useful lives, using the straight-line method.",
36,Declining balance method,"Depreciation is charged so as to allocate the cost of assets less their residual values over
 their estimated useful lives, using the declining balance method.",
36,Sum-of-the-years'-digits method,"Depreciation is charged so as to allocate the cost of assets less their residual values over
 their estimated useful lives, using the sum-of-the-years'-digits method.",
41,Trademarks,"Trademarks 
 Separately acquired trademarks are shown at historical cost. Trademarks acquired in a business combination are recognized at fair value at the acquisition date. Trademarks have a finite useful life and are carried at cost less accumulated amortization and any accumulated impairment losses.",
41,Licences,"Licences 
 Separately acquired licences are shown at historical cost. Licences (including software) acquired in a business combination are recognized at fair value at the acquisition date. Licences are carried at cost less accumulated amortization and any accumulated impairment losses.",
41,Customer related intangible assets,"Customer related intangible assets 
 Customer-related intangible assets acquired in a business combination are recognized at fair value at the acquisition date. Customer-related intangible assets have a finite useful life and are carried at cost less accumulated amortization and any accumulated impairment losses.",
41,Trademarks and licences,"Trademarks and licences 
 Separately acquired trademarks and licences are shown at historical cost. Trademarks and licences (including software) are recognized at fair value at the acquisition date. Trademarks and licences have a finite useful life and are carried at cost less accumulated amortization and any accumulated impairment losses.",
41,Trademarks and customer related intangible assets,"Trademarks and customer related intangible assets 
 Separately acquired trademarks are shown at historical cost. Trademarks and customer-related intangible assets acquired in a business combination are recognized at fair value at the acquisition date. Trademarks and customer-related intangible assets have a finite useful life and are carried at cost less accumulated amortization and any accumulated impairment losses.",
41,Licences and customer related intangible assets,"Licences and customer related intangible assets 
 Separately acquired Licences are shown at historical cost. Licences (including software) and customer-related intangible assets acquired in a business combination are recognized at fair value at the acquisition date. Licences and customer-related intangible assets have a finite useful life and are carried at cost less accumulated amortization and any accumulated impairment losses.",
41,"Trademarks, licences and customer related intangible assets","Trademarks, licences and customer related intangible assets 
 Separately acquired trademarks and licences are shown at historical cost. Trademarks, licences (including software) and customer-related intangible assets acquired in a business combination are recognized at fair value at the acquisition date. Trademarks, licences and customer-related intangible assets have a finite useful life and are carried at cost less accumulated amortization and any accumulated impairment losses.",
52,purchase cost,"Inventories
 Inventories are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost include all purchase cost.
 The cost of finished goods and work in progress comprises packaging costs, raw materials, direct labor, other direct costs and related production overheads. At each reporting date, inventories are assessed for impairment. If inventory is impaired, the carrying amount is reduced to its selling price less costs to complete and sell; the impairment loss is recognized immediately in profit or loss.
 When the circumstances that previously caused inventories to be impaired no longer exist or when there is clear evidence of an increase in selling price less costs to complete and sell because of changed economic circumstances, a reversal of the impairment is recognized so that the new carrying amount is the lower of the cost and the revised selling price less costs to complete and sell. Any impairment reversal in recognized in profit or loss but is limited to the amount of the original impairment loss recognized.
 When inventories are sold, the carrying amount of those inventories is recognized as an expense in the period in which the related revenue is recognized.",
