id,deleted,acct_no,name,parent_id,description
1,N,100,Cash in banks,1,
2,N,200,Cash on hand,1,
3,N,300,Cash equivalents,1,
4,N,100,Trade Receivables,2,
5,N,200,Other Receivables,2,
6,N,300,Allowance for doubtful accounts,2,
7,N,400,Intercompany Receivables,2,
8,N,100,Finished Goods,3,
9,N,200,FG Allowance for decline in value,3,
10,N,300,Work in Progress,3,
11,N,400,WIP  Allowance for decline in value,3,
12,N,500,Raw materials,3,
13,N,600,RM Allowance for decline in value,3,
14,N,100,Prepayments,4,
15,N,200,Prepayments - Taxes,4,
16,N,300,Investments measured at FV,4,
17,N,400,Finance Lease Receivable - Current,4,
18,N,500,Other investments,4,
19,N,100,Office Furniture and Equipment,5,
20,N,200,Leasehold Improvement,5,
21,N,300,Transportation vehicles,5,
22,N,400,Land and Building,5,
23,N,500,Accumulated Depreciation - Office Furniture and Equipment,5,
24,N,600,Accumulated Depreciation - Leasehold Improvement,5,
25,N,700,Accumulated Depreciation - Transportation vehicles,5,
26,N,800,Accumulated Depreciation - Land and Building,5,
27,N,100,Long Term receivables,6,
28,N,200,Accrued Interest,6,
29,N,300,Investment in associates,6,
30,N,400,Interest in Joint Ventures,6,
31,N,500,Biological Assets,6,
32,N,600,Investment Properties,6,
33,N,700,Intangible Assets,6,
34,N,800,Pension Asset,6,
35,N,900,Contingent Assets,6,
36,N,1000,Deposits,6,
37,N,1100,Investment in Stocks,6,
38,N,100,Trade Payable,7,
39,N,200,Accrued Expenses,7,
40,N,300,Withholding and other taxes,7,
41,N,400,Unearned income,7,
42,N,500,SSS and other contributions,7,
43,N,600,Other Payable,7,
44,N,100,Due to related parties,8,
45,N,100,Bank Overdrafts,9,
46,N,200,Current loans,9,
47,N,100,Bank loans,10,
48,N,200,Convertible Loan notes,10,
49,N,300,Pension Liability,10,
50,N,400,Finance lease - Non Current,10,
51,N,500,Contingent Liabilities,10,
52,N,100,Income Tax payable,11,
53,N,200,Intercompany Payables,11,
54,N,100,Deferred tax asset,12,
55,N,100,Deferred tax asset,13,
56,N,100,Deferred tax liability,14,
57,N,100,Deferred tax liability,15,
58,N,100,Share capital - Beginning,16,
59,N,100,Equity Compensation/ Share based compensation,17,
60,N,200,Issuance of common shares under employee share option plan,17,
61,N,300,Issuance of common shares for consulting services performed,17,
62,N,400,Issuance of convertible notes,17,
63,N,500,Buy-back of common shares,17,
64,N,100,Retained earnings - Beginning,18,
65,N,200,Effects of changes in accounting policy - RE,18,
66,N,300,Correction of prior period errors - RE,18,
67,N,400,Profit and Loss for the year,18,
68,N,500,Buy-back of common shares - RE,18,
69,N,600,Transfer to retained earnings,18,
70,N,100,General Reserve - Beginnning,20,
71,N,200,General Reserve - transfers,20,
